trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.3, 'e': 0.01925470177538692}",25,13,22.88038050759091,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.3, 'e': 0.0187793014946844}",20,4,21.452001638836173,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.3, 'e': 0.018315638888734182}",20,2,9.680876614960258,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.3, 'e': 0.017863424153314034}",30,8,42.36197094229287,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.3, 'e': 0.017422374639493515}",25,20,6.83957607197385,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.3, 'e': 0.016992214676969066}",30,21,18.01374046600015,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.3, 'e': 0.01657267540176124}",25,11,23.36624391141794,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.3, 'e': 0.016163494588165874}",30,17,20.98114861021534,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.3, 'e': 0.015764416484854486}",25,15,20.020042835955806,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.3, 'e': 0.015375191655021435}",20,16,8.584342153034699,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.3, 'e': 0.014995576820477703}",20,13,11.031648738845226,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.3, 'e': 0.01462533470959421}",25,11,26.042678121555284,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.3, 'e': 0.014264233908999256}",25,13,18.502668166012803,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.3, 'e': 0.013912048718937618}",25,17,12.352364376519324,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.3, 'e': 0.013568559012200934}",25,15,14.869022047259183,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.3, 'e': 0.013233550096540928}",25,12,21.231101517435516,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.3, 'e': 0.012906812580479862}",20,13,12.392855781277966,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.3, 'e': 0.012588142242433998}",30,1,44.31153679285806,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.3, 'e': 0.012277339903068438}",20,14,12.742284836174544,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.3, 'e': 0.011974211300803622}",20,6,25.309968250118295,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.3, 'e': 0.011678566970395444}",20,13,13.036368647185386,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.3, 'e': 0.011390222124513367}",25,12,21.4635021085238,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.3, 'e': 0.011108996538242306}",25,10,25.3874375684522,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.3, 'e': 0.010834714436436153}",30,19,18.825002780591042,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.3, 'e': 0.010567204383852655}",30,18,18.782323721352867,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.3, 'e': 0.01030629917800074}",30,9,31.27747891503794,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.3, 'e': 0.010051835744633576}",20,13,13.066950558382066,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.3, 'e': 0.009803655035821828}",25,14,20.10220356296086,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,11,6.887879235099816,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
